Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
BBS,Bangladesh Building Systems Ltd.,22.10,22.10,3:45 PM,21.90 - 22.50,0.1,13.02,0.45%,15.50 - 31.70,22.00,"586,911.00",22.00,363,22.00,"3,584.454","5,000.00","08 Oct, 2013","1,629.30",Equity,10.0,1,"162,929,733",Engineering,"Configure Bepari Tower (4th Floor), 64/GA,  Middle Badda, Progati Sarani, Dhaka-1212","02-222294771, 222295915, 222288916, 222298917, 02-222264475",02-222264476,mohsin@bbspeb.com,http://www.bbspeb.com,Mohammad Mohsin,01713114558,+88-02-9854475 (Ext.103),mohsin@bbspeb.com
BBSCABLES,BBS Cables Limited,53.40,53.40,3:45 PM,53.10 - 53.90,0.2,8.04,0.38%,51.70 - 83.70,53.50,"150,479.00",53.20,312,53.20,"10,726.628","3,000.00","31 Jul, 2017","2,016.28",Equity,10.0,1,"201,628,350",Engineering,"Configure Bapari Tower (3rd Floor), Ga-64, Middle Badda, Dhaka-1212.","02-222294771, 222295915, 222288916, 222298917, 02-222264475","02-222260772, 02-222264476",secretary@bbscables.com.bd,http://www.bbscables.com.bd,Golam Habib,01717968746,"02984475, Ext: 102",habib@bbscables.com.bd
BDAUTOCA,Bangladesh Autocars Ltd.,142.00,142.00,3:45 PM,142.00 - 147.40,-2.8,6.38,-1.93%,120.00 - 198.00,142.00,"44,870.00",144.80,260,144.80,626.407,100.00,,43.26,Equity,10.0,1,"4,326,013",Engineering,"110, Tejgaon I/A, Dhaka - 1208",8870467-8,88 - 02 - 8870469,info@bdautocars110.com,http://www.bdautocars.com/,Md. Shariful Islam,01730714732,,cs@bdautocars110.com
BDCOM,BDCOM Online Ltd.,31.30,31.30,3:45 PM,31.30 - 32.70,-0.6,29.80,-1.88%,22.00 - 47.40,31.60,"939,983.00",31.90,801,31.90,"1,821.059","1,000.00",,570.86,Equity,10.0,1,"57,086,500",IT Sector,"JL Bhaban (4th & 5th floor) House # 01, Road # 01, Gulshan Avenue, Gulshan # 1, Dhaka - 1212","09666333666, '09666333697 09666333699 01713339850 01716057251",,bdcomshare@office.bdcom.com,http://www.bdcom.com,A.K.M. Kutub Uddin,01741896081,09666333610,kutub@office.bdcom.com
BDFINANCE,Bangladesh Finance Limited,43.40,43.40,3:45 PM,43.40 - 46.00,-0.8,9.61,-1.81%,38.20 - 73.00,46.00,"221,058.00",44.20,109,44.20,"7,849.097","6,000.00",,"1,775.81",Equity,10.0,1,"177,581,384",Financial Institutions,"Baitul Hossain Building (2nd Floor), 27, Dilkusha C/A, Dhaka-1000, Bangladesh",+88 02223385097,+88 02 9566493,info@bd.finance,http://www.bd.finance,"Munshi Abu Naim, ACS",01618 448756,+88 02223385097,naim@bd.finance
BDLAMPS,Bangladesh Lamps Limited,264.30,264.30,3:45 PM,262.80 - 272.00,-1.9,11.93,-0.71%,167.10 - 372.00,272.00,"44,975.00",266.20,391,266.20,"2,494.456",500.00,,94.00,Equity,10.0,1,"9,370,608",Engineering,"House # 22, Road # 4, Block # F, Banani, Dhaka-1213","9855371-80, 55052072",9887373,ruhan.miah@transcombd.com,http://www.bll.com.bd,Mohammad Ruhan Miah,01817042431,55052072,ruhan.miah@transcombd.com
BDTHAI,Bd.Thai Aluminium Ltd.,17.40,17.40,3:45 PM,17.30 - 17.90,-0.1,11.02,-0.57%,16.40 - 31.50,17.80,"630,560.00",17.50,334,17.50,"2,236.067","2,000.00",,"1,277.75",Equity,10.0,1,"127,775,250",Engineering,"BTA Tower,  Building #  29, Kemal Ataturk Avenue,  Road # 17,  Banani C/A, Dhaka - 1213","9821574-77, Ext-148",88-02-9821573,bta@btaalu.com,http://www.btaalu.com,Ashim Kumar Barua,1711405181,"9821574-77, Ext-146",ashimkumar745@gmail.com
BDTHAIFOOD,BD Thai Food & Beverage Limited,35.50,35.50,3:45 PM,35.40 - 36.90,0.1,8.14,0.28%,11.00 - 49.80,36.90,"228,141.00",35.40,329,35.40,"2,885.100","1,000.00","24 Jan, 2022",815.00,Equity,10.0,1,"81,500,000",Food & Allied,"BTA Tower (8th Floor), 29 Kemal Ataturk Avenue, Road no.-17, Banani C/A, Dhaka-1213",+880-02-222275571,+880-02-9821573,info@btfbl.com,http://www.btfbl.com,Md. Habibur Rahman,01713155102,,cs@btfbl.com
BDWELDING,Bangladesh Welding Electrodes Ltd.,22.80,22.80,3:45 PM,22.60 - 23.40,-0.2,9.53,-0.87%,15.80 - 26.80,23.20,"419,029.00",23.00,393,23.00,997.034,500.00,,433.49,Equity,10.0,1,"43,349,305",Fuel & Power,"Mukta Bangla Shopping Complex\r\nSpace No. 189-192\r\n7th Floor, East Side\r\nMirpur Section-1\r\nDhaka-1216.","9551490, 9561236",880 - 02 - 9561236,ceo@bwel.com,http://www.bwelbd.com,,,,
BEACHHATCH,Beach Hatchery Ltd.,43.70,43.70,3:45 PM,41.60 - 44.50,1.3,9.54,3.07%,17.00 - 49.00,44.50,"222,511.00",42.40,355,42.40,"1,755.403","2,000.00",,414.00,Equity,10.0,1,"41,401,021",Food & Allied,"House# B-139 (3rd Flr), Road#22, DOHS, Mohakhali, Dhaka",9833506,9833507,msfldhaka@gmail.com,http://bhlbd.net,Md.Nur Islam,1714034997,9833506,msfldhaka@gmail.com
BEACONPHAR,Beacon Pharmaceuticals Limited,249.60,249.60,3:45 PM,246.40 - 252.30,-1.8,8.57,-0.72%,172.50 - 307.00,252.30,"34,438.00",251.40,169,251.40,"58,073.400","3,000.00","12 Aug, 2010","2,310.00",Equity,10.0,1,"231,000,000",Pharmaceuticals & Chemicals,"9/B/2, Toyenbee Circular Road, Motijheel C/A, Dhaka-1000.","+880-2-57165371-6, Ext-102",+880-2-57165379-80,beacon@beaconpharma.com.bd,http://www.beaconpharma.com.bd,Mr. Khalilur Rahman ACS,01730025982,"57165371-6, Ext-102",khalilur-acc@beaconpharma.com.bd
BENGALWTL,Bengal Windsor Thermoplastics Ltd.,22.50,22.50,3:45 PM,22.50 - 22.90,-0.4,2.23,-1.75%,20.40 - 32.50,22.90,"98,749.00",22.90,133,22.90,"2,094.800","1,000.00","16 Apr, 2013",914.76,Equity,10.0,1,"91,476,000",Engineering,"Bengal House, 75 Gulshan Avenue, Gulshan 1,Dhaka-1212",9888248-49 Ext-1368,29847507,caffairs1@bengal.com.bd,http://www.windsor.bengalgroup.com,"Rajib Chakraborty, ACS",01971044199,9888248-49 Ext-1041,rchakraborty@bengal.com.bd
BERGERPBL,Berger Paints Bangladesh Ltd.,"1,735.00","1,735.00",3:45 PM,"1,725.00 - 1,739.40",19,2.96,1.11%,"1,650.00 - 1,940.90","1,730.00","1,706.00","1,716.00",58,"1,716.00","79,584.442","1,000.00",,463.78,Equity,10.0,1,"46,377,880",Miscellaneous,"Berger House#8, Road#2,Sector#3,Uttara Model Town, Dhaka-1230","+88-2-48953665, +88-2-48953665",+88-02-48951350,info@bergerbd.com,https://www.bergerbd.com,Khandker Abu Jafar Sadique,01713279723,+88-2-48953665,jafar@bergerbd.com
BEXGSUKUK,Beximco Green Sukuk Al Istisna'a,86.50,86.50,3:45 PM,85.50 - 87.00,1.5,3.15,1.76%,85.00 - 110.00,87.00,"36,460.00",85.00,34,85.00,"25,500.000",-,"13 Jan, 2022","30,000.00",Corporate Bond,100.0,1,"300,000,000",Corporate Bond,,,,-,,,,,
BEXIMCO,Bangladesh Export Import Company Ltd.,116.60,116.60,3:45 PM,116.60 - 121.80,-2.3,236.88,-1.93%,88.60 - 187.90,119.80,"2,006,165.00",118.90,"3,276",118.90,"104,194.315","10,000.00",,"8,763.19",Equity,10.0,1,"876,318,879",Miscellaneous,"17, Dhanmondi R/A, Road # 02, Dhaka - 1205","58611891-5, 58612040-7 , 58611891-5, 58612040-7, Ext.10149","58613470, 9615523",bexcsd@beximco.net,http://www.beximco.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7,  Ext.-10140",csdbexim@bol-online.com
BGIC,Bangladesh General Insurance Company Ltd.,38.60,38.70,3:45 PM,38.60 - 39.00,-0.7,0.98,-1.78%,38.60 - 65.00,39.00,"25,208.00",39.30,65,39.30,"2,123.271","1,000.00",,540.27,Equity,10.0,1,"54,027,255",Insurance,"42, Dilkusha C/A, Dhaka - 1000","02223380379, 02223383056-8",02223384212,bgicinsurance@yahoo.com,http://www.bgicinsure.com,Saifuddin Ahmed,01715-246961,02223383057,ahmedsaifuddin@yahoo.com
BIFC,Bangladesh Industrial Fin. Co. Ltd.,9.40,9.40,3:45 PM,8.80 - 9.40,0.8,10.97,9.30%,5.60 - 9.40,9.00,"1,194,958.00",8.60,433,8.60,865.848,"4,000.00",,"1,006.79",Equity,10.0,1,"100,679,944",Financial Institutions,"Police Plaza Concord (Tower-2), Level- 8, Plot # 02, Road # 144\r\nGulshan, Dhaka.","09611888333,  02-55045123-5",02-55045128,info@bifcol.com,http://www.bifcol.com,Md. Ahsan Ullah,1729097124,"02-55045123-5, Ext: 108",ahsanullah@bifcol.com
BNICL,Bangladesh National Insurance Company Limited,58.80,58.80,3:45 PM,58.80 - 62.40,-1.1,4.46,-1.84%,58.80 - 171.90,62.40,"75,715.00",59.90,192,59.90,"2,650.575","1,000.00","21 Apr, 2016",442.50,Equity,10.0,1,"44,250,000",Insurance,"Rashid Tower (3rd floor),rnHoue No. 11, Road No. 18 , Gulshan-1,Dhaka-1212","8832234-5, 8832215, 8832217, 9555704, 01713013710",88-02-8832154,mail@bnicl.net,http://www.bnicl.net,Md. Masud Rana,01711582560,"01713-013710, 8832215, 8832217",cs@bnicl.net
BPML,Bashundhara Paper Mills Limited,50.90,50.90,3:45 PM,50.70 - 51.90,-0.2,4.02,-0.39%,42.10 - 72.60,51.90,"78,893.00",51.10,208,51.10,"8,880.743","5,000.00","02 Jul, 2018","1,737.91",Equity,10.0,1,"173,791,441",Paper & Printing,"Bashundhara Industrial Headquarters-2,rnPlot#56/A, Block #C Umme Kulsum Road, BashundharaR/A, Dhaka-1229","+ 88 02 8432289-93, + 88 02 8432289-93",+ 88 02 8432305,info.paper@bg.com.bd,http://www.bashundharapapermills.com,M. Mazedul Islam,01766694713,"+88 02 8432289-93, ext-4452",mazedul.islam@bg.com.bd
BPPL,Baraka Patenga Power Limited,30.20,30.20,3:45 PM,30.20 - 30.90,-0.6,9.61,-1.95%,29.80 - 55.00,30.30,"316,972.00",30.80,599,30.80,"5,328.261","3,000.00","15 Jul, 2021","1,729.95",Equity,10.0,1,"172,995,488",Fuel & Power,"6/A/I (1st & 2nd floor), Segunbagicha, Dhaka-1000, Bangladesh","+88-02-223380339, 47115792",+88-02-223383117,info@bpplbd.com,http://www.bpplbd.com,Mohammad Rana,'01531548499,"'+88-02-223380339, 47115792 (Ext. 115)",rana@barakapower.com
BRACBANK,BRAC Bank Ltd.,38.60,38.60,3:45 PM,38.00 - 38.90,0.8,25.93,2.12%,37.30 - 61.50,38.50,"675,855.00",37.80,534,37.80,"56,570.925","20,000.00",,"14,965.80",Equity,10.0,1,"1,496,585,328",Bank,"Anik Tower, 220/B, Tejgaon I/A, Tejgaon Gulshan Link Road,  Dhaka-1208","09677555124, 09677555125",+88 02 222298910,enquiry@bracbank.com; sharedept@bracbank.com,http://www.bracbank.com,Mohammad Mahbubur Rahman FCS,01713060835,09677552038; or Ext. 52038,mahbubur.rahman@bracbank.com
BSC,Bangladesh Shipping Corporation,108.60,108.60,3:45 PM,108.20 - 111.90,-1.7,80.76,-1.54%,43.80 - 155.90,110.20,"734,131.00",110.30,"1,334",110.30,"16,824.615","10,000.00",,"1,525.35",Equity,10.0,1,"152,535,040",Miscellaneous,"BSC Bhaban, Saltgola Road, P.O Box # 641, Chattogram- 4100.","01675325248, 031-724479","031-724479,  031-722380",secybsc@gmail.com,http://www.bsc.gov.bd,Muhammad Ashraf Hossain,'01711204177,'031-724479,secy@bsc.gov.bd
BSCCL,Bangladesh Submarine Cable Company Limited,221.90,222.10,3:45 PM,221.30 - 229.80,-2.9,19.08,-1.29%,175.00 - 256.00,229.80,"85,237.00",224.80,415,224.80,"37,070.759","10,000.00","14 Jun, 2012","1,649.06",Equity,10.0,1,"164,905,510",Telecommunication,"Rahmans\' Regnum Center (7th & 8th Floor), 191, Tejgaon-Gulshan Link Road, Dhaka-1208.","880-2-8879194-95, 8879192, 880-2-8878162","880-2-8879193, 880-2-9333125",cs@bsccl.com,http://www.bsccl.com.bd,Md. Abdus Salam Khan,01552369905,880-2-8879240,cs@bsccl.com
BSRMLTD,Bangladesh Steel Re-Rolling Mills Limited,92.30,91.20,3:45 PM,91.00 - 100.00,0,4.07,0.00%,87.00 - 124.50,100.00,"44,374.00",92.30,142,92.30,"27,559.361","5,000.00","27 Apr, 2015","2,985.85",Equity,10.0,1,"298,584,626",Engineering,"Corporate Office: Ali Mansion, 1207/1099, Sadarghat Road, Chattogram- 4000.rnDhaka Office: Nasiruddin Tower (4th Floor), Bir Uttam Samsul Alam Road, 104/1, Kakrail Dhaka -1000.",+880 2333354901-10,+02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
BSRMSTEEL,BSRM Steels Limited,64.30,64.30,3:45 PM,63.90 - 66.00,0.4,3.06,0.63%,57.50 - 82.50,66.00,"47,518.00",63.90,135,63.90,"24,023.365","5,000.00",,"3,759.53",Equity,10.0,1,"375,952,500",Engineering,"Corp.Office: Ali Mansion 1207/1099,Sadarghat Road, Chattogram. rnDhaka Office: Nasiruddin Tower,(4th floor), Bir Uttam Samsul Alam Road, 104/1, Kakril Dhaka-1000.",02333354901-10,02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
BXPHARMA,Beximco Pharmaceuticals Ltd.,146.20,146.20,3:45 PM,145.80 - 149.50,-0.5,40.20,-0.34%,142.40 - 255.40,146.70,"273,358.00",146.70,782,146.70,"65,444.643","15,000.00",,"4,461.12",Equity,10.0,1,"446,112,089",Pharmaceuticals & Chemicals,"17,Road # 02, Dhanmondi R/A,   Dhaka - 1209","58611891-5, 58612040-7 , 58611891-5, 58612040-7 Ext.10133","58613470, 9615523",bplcsd@beximco.net,http://www.beximcopharma.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7  Ext.-10140",csdbexim@bol-online.com
CAPMBDBLMF,CAPM BDBL Mutual Fund 01,9.90,9.90,3:45 PM,9.80 - 10.40,0.1,0.83,1.02%,8.80 - 15.00,10.40,"84,231.00",9.80,55,9.80,491.284,-,"12 Jan, 2017",501.00,Mutual Fund,10.0,1,"50,131,000",Mutual Funds,"Safura Tower, 20, Kemal Ataturk Avenue, Banani C/A, Dhaka- 1213.","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
CAPMIBBLMF,CAPM IBBL Islamic Mutual Fund,14.20,14.20,3:45 PM,13.90 - 14.50,0.3,0.68,2.16%,12.00 - 24.40,14.50,"48,499.00",13.90,50,13.90,929.264,-,"05 Mar, 2018",668.53,Mutual Fund,10.0,1,"66,853,500",Mutual Funds,"CAPM Company Limited, Safura Tower (5th Floor), 20 Kemal Ataturk Avenue, Banani C/A, Dhaka-1205","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
CENTRALINS,Central Insurance Company Ltd.,38.80,37.90,3:45 PM,37.70 - 41.60,0.4,0.14,1.04%,37.70 - 71.50,41.60,"3,625.00",38.40,34,38.40,"2,040.761","1,000.00",,531.45,Equity,10.0,1,"53,144,823",Insurance,"Central Insurance Bhabanrn7-8, Motijheel C/A, Dhaka-1000","9564251-4, 02-9554778",88-02-9567421-2,-,http://www.cicl-bd.com,Mr. Md. Jafar Ali FCS,01766535422,9578390,jafarali@cicl-bd.com
CENTRALPHL,Central Pharmaceuticals Limited,12.60,12.60,3:45 PM,12.60 - 13.00,-0.1,3.12,-0.79%,11.60 - 23.30,12.70,"246,004.00",12.70,194,12.70,"1,521.471","3,000.00","14 Aug, 2013","1,198.01",Equity,10.0,1,"119,800,844",Pharmaceuticals & Chemicals,"2-A/1, South-West Darus Salam Road, Mirpur-1, Dhaka-1216","+88-02-58056079, +88-02-48040674",,"info@centralphl.com, cplho1980@gmail.com",http://www.centralphl.com,Md. Tajul Islam,01814655831,02-9038733 Ext. 102,cplho1980@gmail.com
CITYBANK,The City Bank Ltd.,22.00,22.00,3:45 PM,21.80 - 22.30,0,5.95,0.00%,21.70 - 30.60,22.10,"270,539.00",22.00,269,22.00,"26,413.348","15,000.00",,"12,006.10",Equity,10.0,1,"1,200,606,743",Bank,"136, Bir Uttam Road, Gulshan Avenue, Gulshan-2, Dhaka-1212. SHARE OFFICE: 11, Dilkhusha C/A, Dhaka-1000",02223356471 (Direct) 02223385925 (Hunting) Ext.-  129 and 136,58816332,info@thecitybank.com,http://www.thecitybank.com,Md. Kafi Khan,01788768666,"58814635 (Direct)  58813483, 58814375  and 58813126 (Hunting)  Ext.-1031",kafikhan@thecitybank.com
CITYGENINS,City General Insurance Co. Ltd.,26.30,26.30,3:45 PM,26.30 - 27.50,-0.5,1.96,-1.87%,24.60 - 52.20,27.50,"73,644.00",26.80,179,26.80,"1,826.852","2,000.00",,681.66,Equity,10.0,1,"68,166,122",Insurance,"Baitul Hossain Building (4th Floor), 27 Dilkusha C/A Dhaka-1000.","0222 3387296, 0222 3387281, 02223387278, 02223387247,",880 222-3357509,share@cityinsurance.com.bd,http://www.cityinsurance.com.bd,MD.Hasan Khan,01714612075,9557735 Ext. 103,cs@cityinsurance.com.bd
CNATEX,C & A Textiles Limited,-,-,3:45 PM,-,-,-,-,4.90 - 11.50,-,-,-,-,-,0.000,"3,000.00","21 Jan, 2015","2,393.16",Unknown,10.0,1,"239,316,000",Textile,"32/A, BSCIC Industrial Estate \r\nKalurghat (Extn.),Chandgaon\r\nChittagong, Bangladesh.","+880-31-670264, 672417",+880-31-2570639,info@cnagroupbd.com,,,,,
CONFIDCEM,Confidence Cement Ltd.,-,-,3:45 PM,-,-,-,-,95.00 - 167.80,-,-,-,-,-,0.000,"1,000.00",,782.35,Unknown,10.0,1,"78,234,731",Cement,"Confidence Heights, Plot-1, Lane-1, Road-2, Block-L, Halishahar H/E, Agrabad Acces Road, Chattogram","031-711471-3, 711475, 2518962, 2510386, 9562431, 9574934","88-031-711474, 88 - 02 - 9104584",info.ccl@cg-bd.com,http://www.confidencecement.com.bd,"Md. Delowar Hossain, ACS",01704124276,"031-711471-3, 711475, 2518962, 2510386, Ext-222",delowar.hossain@cg-bd.com
CONTININS,Continental Insurance Ltd.,32.80,32.30,3:45 PM,32.20 - 33.90,0,0.98,0.00%,32.20 - 59.00,32.90,"30,173.00",32.80,72,32.80,"1,364.654",600.00,,416.05,Equity,10.0,1,"41,605,311",Insurance,"Advanced Noorani Tower (13th floor) 1, Mohakhali C/A, Dhaka -1212.",02-58817491-6,02-8170180,info@cilbd.com,http://www.cilbd.com,Mr. Ataur Rahman,01713370149,02-58817491-6,cs@cilbd.com
COPPERTECH,Coppertech Industries Limited,38.80,38.90,3:45 PM,38.80 - 40.00,-0.7,16.83,-1.77%,31.10 - 49.00,39.90,"429,548.00",39.50,392,39.50,"2,488.500",700.00,"05 Aug, 2019",630.00,Equity,10.0,1,"63,000,000",Engineering,"House: 214 (5th floor), Road: 13, Mohakhali DOHS, Dhaka-1206","+88-02-8715867 (ext. 123) , 8715809",+88-02-8715867,info@coppertechbd.com,http://www.coppertechbd.com,SK. Miraj Ali,01917701642,+88-02-8715867 (ext. 123),miraj@coppertechbd.com
CROWNCEMNT,Crown Cement PLC.,72.30,72.30,3:45 PM,71.00 - 73.80,0,1.20,0.00%,55.00 - 89.80,71.00,"16,644.00",72.30,115,72.30,"10,736.550","5,000.00",,"1,485.00",Equity,10.0,1,"148,500,000",Cement,"Delta Life Tower, (3rd & 6th Floor), Plot # 37, Road # 45 (South) & 90 (North), Gulshan-2, Dhaka-1212, Bangladesh.","+8802-222292669 (share Dept), 02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641",+8802-222263643,info@crowncement.com,http://www.crowncement.com,"Md. Mozharul Islam, FCS",+8801730709003,"02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641 Ext.- 120",cs@crowncement.com
CRYSTALINS,Crystal Insurance Company Limited,35.90,35.90,3:45 PM,35.10 - 37.90,1.3,1.17,3.76%,33.80 - 69.20,37.90,"32,730.00",34.60,59,34.60,"1,384.000","1,000.00","21 Dec, 2020",400.00,Equity,10.0,1,"40,000,000",Insurance,"DR Tower (14th floor),65/2/2, Box Culvert Road, Purana Paltan, Dhaka-1000",+88-02-9566889,02-9567205,info@ciclbd.com,http://www.ciclbd.com,,,,
CVOPRL,CVO Petrochemical Refinery Limited,168.80,168.80,3:45 PM,168.80 - 176.70,-3.4,21.51,-1.97%,108.20 - 272.00,176.70,"126,325.00",172.20,655,172.20,"4,781.908","1,500.00",,277.70,Equity,10.0,1,"27,769,500",Fuel & Power,"37, Katalgonj, Panchlaish, Chattogram.rnrnDhaka Office: Anima Vista, Flat # A-3 (3rd Floor)rn30 Topkhana Road, Paltan, Dhaka - 1200.","+88 - 031 - 650525-26, 650533, 2557201-2, Dhaka Office:  +88-02-9551968.","+88-031-650134, 2557203, Dhaka Office: +88-02-9551965",info@cvopetro.com,http://www.cvopetro.com,Khwaza Mowin Uddin Hossain,+8801713104040,"+88-031-650525-26,  650533, 2557201-2",mowin@cvopetro.com
DACCADYE,The Dacca Dyeing & Manufacturing Co.Ltd.,18.20,18.20,3:45 PM,18.10 - 18.70,-0.1,6.73,-0.55%,16.80 - 29.50,18.30,"368,567.00",18.30,305,18.30,"1,594.908","3,000.00",,871.53,Equity,10.0,1,"87,153,453",Textile,"Sharif Mansion (4th Floor), 56-57, Motijheel C/A, Dhaka - 1000, Bangladesh.","9558131-32, 9550355",88-02-9588705,info@dd.qc-group.com,http://www.dacca-dyeing.com,,,,
DAFODILCOM,Daffodil Computers Ltd.,66.30,69.10,3:45 PM,66.30 - 70.80,-1.2,0.32,-1.78%,56.80 - 78.00,70.80,"4,604.00",67.50,15,67.50,"3,369.078","2,000.00",,499.12,Equity,10.0,1,"49,912,262",IT Sector,"64/3, Leke Circus, Kalabang, Dhanmondi, Dhaka.","88-02-9116601,'88-02-9116602",880-2-58153690,info@daffodil-bd.com,https://daffodil-bd.com/,Md. Monir Hossain,01713493188,88-02-9116600,cs@daffodil-bd.com
DBH,Delta Brac Housing Finance Corp. Ltd.,58.80,58.80,3:45 PM,58.50 - 59.40,-0.7,3.09,-1.18%,58.10 - 88.50,59.10,"52,499.00",59.50,179,59.50,"11,601.927","2,000.00",,"1,949.90",Equity,10.0,1,"194,990,365",Financial Institutions,"Landmark Building (9th Floor), 12-14 Gulshan North C/A, Gulshan-2, Dhaka-1212","PABX: 09612334455, +8802 9842374, 58816001, 9882112",+8802 9882110,dbh@deltabrac.com,http://www.deltabrac.com,"Jashim Uddin, FCS",01613435138,"+8802 9842374, 58816001, 9882112, Ext. 197",jashim@deltabrac.com
DBH1STMF,DBH First Mutual Fund,7.00,7.00,3:45 PM,7.00 - 7.10,-0.1,0.21,-1.41%,6.90 - 10.00,7.10,"30,263.00",7.10,33,7.10,852.000,-,,"1,200.00",Mutual Fund,10.0,1,"120,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
DELTALIFE,Delta Life Insurance Company Ltd.,141.50,141.50,3:45 PM,141.50 - 148.00,-2.8,113.17,-1.94%,110.00 - 239.00,148.00,"796,682.00",144.30,"1,017",144.30,"17,857.125","5,000.00",,"1,237.50",Equity,10.0,1,"123,750,000",Insurance,"Delta Life Tower, Plot # 37, Road # 90rnGulshan Circle-2, Dhaka-1212","'09613666000, 55051919 Ext. 271","88-02-8831739, 9899605",info@deltalife.org,http://www.deltalife.org,"Uttam Kumar Sadhu, FCMA, FCS",'+8801713406080,"09613666000, 55051919 Ext. 341",uttam.kumar@deltalife.org
DELTASPINN,Delta Spinners Ltd.,8.70,8.70,3:45 PM,8.70 - 9.00,-0.1,8.63,-1.14%,7.60 - 13.70,8.70,"989,456.00",8.80,304,8.80,"1,465.041","1,750.00",,"1,664.82",Equity,10.0,1,"166,481,964",Textile,"254-B, Khilgaon Chowdhury PararnDhaka-1219","47213597, 47213697",,delta.spinners@yahoo.com,http://www.delta-spinners.com.,Mr. Masudur Rahman,01711-541132,"47213597, 47213697  Ext. No. 107",delta.spinners@gmail.com
DESCO,Dhaka Electric Supply Company Ltd.,37.50,37.60,3:45 PM,37.50 - 38.30,-0.4,0.42,-1.06%,34.00 - 47.60,38.00,"11,000.00",37.90,42,37.90,"15,067.896","20,000.00",,"3,975.70",Equity,10.0,1,"397,569,804",Fuel & Power,"22/B, Faruk Sarani, Nikunja-2rnKhilkhet, Dhaka-1229","8900110-11 8900820-23, 8900330",8900100,csdesco@desco.org.bd,http://www.desco.org.bd,Engr. Md. Atiqur Rahman,02-8900330,8900110-11 (Ext. 221) 8900330,csdesco@desco.org.bd
DESHBANDHU,Deshbandhu Polymer Limited,19.00,19.00,3:45 PM,19.00 - 19.70,-0.3,12.39,-1.55%,15.10 - 29.80,19.60,"646,708.00",19.30,365,19.30,"1,184.347","3,000.00",,613.65,Equity,10.0,1,"61,365,150",Engineering,"Mostafa Center, House No 59, Road No 27, Block K, Banani, Dhaka 1213, Bangladesh.","+88-02-58816731, 1713375251",+88 02  8815571,cs@deshbandhugroup.com.bd,http://www.deshbandhupolymer.com,Mr.Liakat Ali,1713375221,"+88-02-58816731 ,Ext.-221",cs@deshbandhugroup.com.bd
DGIC,Desh General Insurance Company Limited,27.60,27.80,3:45 PM,27.60 - 29.30,-0.1,0.50,-0.36%,27.60 - 52.90,29.30,"17,809.00",27.70,30,27.70,"1,108.000","1,000.00","29 Mar, 2021",400.00,Equity,10.0,1,"40,000,000",Insurance,"Jiban Bima Bhaban,Level# 5, Front Block,10 Dilkusha C/A, Dhaka – 1000",02-9571642-5,02-9561920,info@deshinsurancebd.com,http://www.deshinsurancebd.com,,,,
DHAKABANK,Dhaka Bank Ltd.,13.20,13.30,3:45 PM,13.10 - 13.40,0,3.16,0.00%,13.00 - 16.90,13.40,"239,581.00",13.20,101,13.20,"12,535.047","10,000.00",,"9,496.25",Equity,10.0,1,"949,624,754",Bank,"Head & Share Office: Plot #CWS(C)-10, Bir uttam A.K. Khandakar Road, Gulshan, Dhaka-1212.",+8802 5831 4424-30  (Ext. 243),+8802 5831 4419,hobss@dhakabank.com.bd,http://www.dhakabankltd.com,Mr. Md. Shahjahan Miah,01713 038522,8802 5831 4424-30 (Ext. 241),shahjahan.miah@dhakabank.com.bd
